method,b,a,theta
BIAS_mean_jl,0.3299022335902807,0.0895812142053193,-0.09893024565792126
BIAS_median_jl,0.2607132464718146,0.025398566012151846,-0.07664863775004016
RMSE_mean_jl,0.9681103461475746,0.3530258326893396,1.0489168647047962
RMSE_median_jl,0.8061872543306201,0.30953854883567766,0.8615563881705202
BIAS_mean_mirt,0,0,-0.09939153849567778
BIAS_median_mirt,0,0,-0.08407899934626245
RMSE_mean_mirt,0,0,1.0934349599258222
RMSE_median_mirt,0,0,0.9065422817095792
BIAS_mean_EHW,-0.15678985527879438,-0.8638452976462011,-0.09939153849567779
BIAS_median_EHW,-0.2954247039986907,-0.8957475333714772,-0.18346445272149567
RMSE_mean_EHW,0.9050303476922844,1.0916717634018598,0.7280745084386461
RMSE_median_EHW,0.9241622770076675,0.8957475333714772,0.5326786027312562
